День,Час,Топ 10,Частота,Сума
05.03.2026,Ранок,"україна, напрямок, ракета, зброя, район, корея, іран, північний, військовий, джерело","[27, 14, 13, 12, 11, 10, 10, 9, 8, 7]",121
05.03.2026,Обід,"україна, аварійний, укренерго, seps, допомога, словацький, особа, нафта, напрямок, договір","[12, 12, 10, 8, 8, 8, 6, 6, 6, 6]",82
05.03.2026,Вечір,"україна, режисерка, міністр, змія, людина, ідея, енергетика, шмигаль, електроенергія, штат","[10, 8, 8, 8, 6, 6, 6, 6, 6, 6]",70
06.03.2026,Ранок,"трамп, іран, хотіти, іранський, нафта, сила, лідер, прямий, мова, країна","[21, 14, 10, 9, 8, 7, 7, 7, 7, 7]",97
06.03.2026,Обід,"україна, дані, центр, угорщина, правда, військовий, росія, командування, валютний, джерело","[19, 12, 12, 12, 11, 10, 9, 9, 8, 8]",110
06.03.2026,Вечір,"україна, нафта, сибіга, міністр, угорський, громадянин, ситуація, ураження, національний, банк","[15, 10, 7, 6, 6, 6, 6, 5, 5, 5]",71
07.03.2026,Ранок,"паралімпійський, гра, іран, україна, удар, військо, інфраструктура, трамп, отримати, прапор","[11, 10, 9, 9, 9, 7, 7, 7, 6, 6]",81
07.03.2026,Обід,"іран, удар, морський, україна, робота, жінка, центр, дрон, військо, бпла","[11, 10, 8, 8, 8, 6, 6, 6, 6, 6]",75
07.03.2026,Вечір,"напрямок, україна, тривати, район, окупант, область, вночі, пункт, ворог, мороз","[16, 9, 7, 7, 7, 6, 6, 5, 5, 5]",73
08.03.2026,Ранок,"іран, війна, аварія, перший, удар, територія, ферстаппен, відео, реальний, повідомлення","[11, 6, 5, 5, 5, 5, 4, 4, 4, 4]",53
08.03.2026,Обід,"тиждень, нафта, жінка, іран, можливий, освіта, варта, місце, трамп, удар","[15, 12, 11, 10, 9, 8, 7, 6, 6, 6]",90
08.03.2026,Вечір,"трамп, іран, автомобіль, сила, рішення, нафта, ціна, україна, зробити, скорпіон","[10, 10, 7, 6, 6, 6, 6, 6, 6, 6]",69
09.03.2026,Ранок,"іран, напрямок, ціна, нафта, пункт, долар, населений, ізраїль, атака, район","[16, 15, 13, 9, 9, 8, 8, 7, 7, 7]",99
09.03.2026,Обід,"нафта, видобуток, фільм, премія, ірак, відпустка, район, понад, декларація, війна","[14, 12, 11, 9, 9, 9, 8, 8, 8, 8]",96
09.03.2026,Вечір,"центр, військовий, зниклий, частина, регіональний, україна, безвість, євро, дитина, європейський","[21, 16, 15, 13, 13, 12, 11, 10, 8, 8]",127
10.03.2026,Ранок,"дані, компанія, центр, обробка, трамп, санкція, електроенергія, ціна, штучний, інтелект","[7, 6, 5, 5, 5, 5, 4, 4, 4, 4]",49
10.03.2026,Обід,"україна, електроенергія, план, міський, голова, росія, участь, територія, кличко, київ","[29, 13, 11, 11, 11, 11, 10, 9, 7, 7]",119
10.03.2026,Вечір,"іран, трамп, нафтовий, світовий, енергетичний, робота, тиждень, країна, економіка, церемонія","[9, 7, 7, 7, 6, 6, 6, 6, 6, 6]",66
11.03.2026,Ранок,"потепління, дитина, температура, іран, громада, останній, глобальний, жінка, померти, військовослужбовець","[8, 7, 6, 5, 4, 4, 4, 4, 3, 3]",48
11.03.2026,Обід,"україна, ціна, івано, ритуальний, ринок, слово, пальне, підприємство, послуга, зростання","[28, 14, 11, 11, 11, 10, 10, 10, 10, 9]",124
11.03.2026,Вечір,"університет, напрямок, міжнародний, проєкт, театр, доброволець, організація, фестиваль, працювати, відбутися","[12, 11, 9, 8, 8, 7, 6, 6, 5, 5]",77
12.03.2026,Ранок,"війна, сход, ціна, близький, іран, нафта, барель, середа, пресреліз, світовий","[9, 7, 7, 6, 5, 5, 5, 4, 4, 4]",56
12.03.2026,Обід,"україна, гривня, будинок, міський, голова, долар, район, угорщина, декларація, дані","[21, 19, 12, 12, 11, 11, 10, 10, 10, 9]",125
12.03.2026,Вечір,"освіта, заклад, україна, європейський, січень, лист, матч, усманов, санкція, ліцензія","[9, 9, 9, 9, 8, 8, 7, 7, 7, 6]",79
13.03.2026,Ранок,"регіон, долар, постачання, атакувати, бпла, оборона, ворожий, атака, район, громада","[6, 6, 6, 4, 4, 4, 4, 4, 4, 4]",46
13.03.2026,Обід,"фінансовий, людина, витрата, україна, рішення, бюджет, період, проблема, державний, ситуація","[19, 17, 17, 15, 13, 11, 10, 10, 9, 9]",130
13.03.2026,Вечір,"україна, іран, дрон, американський, атака, удар, merops, долар, зазначити, премія","[14, 9, 8, 7, 6, 6, 6, 6, 5, 5]",72
14.03.2026,Ранок,"людина, район, трамп, напруга, повістка, позиція, атака, ціль, іран, прямий","[10, 9, 7, 6, 6, 6, 5, 5, 5, 5]",64
14.03.2026,Обід,"територія, область, україна, холод, канал, ментол, атака, район, група, міністр","[10, 10, 9, 8, 8, 7, 6, 6, 6, 6]",76
14.03.2026,Вечір,"джерело, особа, дрон, україна, москва, список, японія, росія, атака, зокрема","[8, 7, 6, 6, 5, 5, 5, 4, 4, 4]",54
15.03.2026,Ранок,"зеленський, україна, президент, трамп, допомога, володимир, заявити, дрон, випадок, угода","[17, 13, 12, 11, 8, 7, 7, 7, 7, 6]",95
15.03.2026,Обід,"центр, місце, реабілітація, тиждень, місто, робота, рейтинг, напрямок, світ, військовий","[14, 12, 11, 11, 11, 9, 9, 8, 8, 8]",101
15.03.2026,Вечір,"іран, заявити, команда, безпека, україна, співробітник, військовий, арагчі, дель, протока","[8, 6, 5, 5, 5, 5, 5, 5, 4, 4]",52
16.03.2026,Ранок,"україна, хвилина, мовчання, удар, приміський, поїзд, ворожий, залізничний, інфраструктура, сумщина","[6, 5, 5, 4, 4, 3, 3, 2, 2, 2]",36
16.03.2026,Обід,"україна, рішення, вступ, держава, європейський, потреба, питання, ціна, догляд, допомога","[26, 11, 9, 8, 8, 7, 7, 7, 6, 6]",95
16.03.2026,Вечір,"україна, нафта, словаччина, ціна, прем, електроенергія, фіцо, іран, ринок, підтримка","[19, 13, 10, 9, 8, 7, 7, 7, 6, 6]",92
17.03.2026,Ранок,"трамп, україна, напрямок, жити, президент, джерело, переговори, зустріч, учасник, думка","[21, 18, 15, 9, 8, 6, 6, 6, 6, 6]",101
17.03.2026,Обід,"україна, дитина, росія, війна, міський, дрон, апеляційний, лютий, івано, зокрема","[35, 23, 22, 16, 12, 11, 10, 10, 9, 9]",157
17.03.2026,Вечір,"україна, дрон, британія, спільний, позиція, оборона, зеленський, працювати, великий, співпраця","[7, 7, 6, 6, 5, 5, 5, 5, 4, 4]",54
18.03.2026,Ранок,"напрямок, район, військовий, противник, послуга, населений, пункт, вибори, показник, україна","[13, 10, 7, 6, 6, 6, 6, 5, 5, 5]",69
18.03.2026,Обід,"правоохоронець, україна, іран, річний, результат, турнір, транспортний, івано, франківськ, удар","[7, 7, 5, 5, 5, 5, 4, 4, 4, 4]",50
18.03.2026,Вечір,"людина, україна, тварина, міністр, інфекція, допомога, безпілотник, лікування, випадок, кількість","[12, 11, 9, 8, 8, 7, 6, 6, 6, 6]",79
